# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Omega,Phi,Kappa,Accuracy_X/Y/Z_(m),Accuracy_Omega/Phi/Kappa_(deg),Error_(m),X_error,Y_error,Z_error,Error_(deg),Omega_error,Phi_error,Kappa_error,X_est,Y_est,Z_est,Omega_est,Phi_est,Kappa_est,X_var,Y_var,Z_var,Omega_var,Phi_var,Kappa_var
IMG_1856.jpg,107.554481,-6.869719,783.489000,10.000000,1.449596,-1.348759,10.000000,10.000000,1.491234,-1.399614,0.168101,0.486418,210.365554,-112.271743,20.796242,-176.681177,107.554468,-6.869717,783.975418,-102.271743,22.245838,-178.029936,,,,,,
IMG_1857.jpg,107.554489,-6.869714,783.910515,10.000000,2.264525,-2.229746,10.000000,10.000000,2.275850,-2.243751,-0.364268,0.111280,211.766064,-111.841593,18.230901,-178.896502,107.554469,-6.869717,784.021794,-101.841593,20.495426,178.873752,,,,,,
IMG_1858.jpg,107.554481,-6.869719,784.035120,10.000000,1.361013,-1.341196,10.000000,10.000000,1.404327,-1.392053,0.184721,-0.014143,210.899178,-113.184396,24.763288,-176.222970,107.554468,-6.869717,784.020977,-103.184396,26.124301,-177.564166,,,,,,
IMG_1859.jpg,107.554414,-6.869714,783.838736,10.000000,0.780936,0.297414,10.000000,10.000000,0.788970,0.282590,0.686966,0.265884,204.227586,-99.850027,5.055818,178.082334,107.554417,-6.869708,784.104620,-89.850027,5.836754,178.379748,,,,,,
IMG_1860.jpg,107.554419,-6.869711,783.605337,10.000000,0.687459,-0.310966,10.000000,10.000000,0.662825,-0.264377,0.358936,0.490516,205.347607,-100.279512,9.317169,178.954881,107.554417,-6.869708,784.095853,-90.279512,10.004628,178.643915,,,,,,
IMG_1861.jpg,107.554367,-6.869711,786.103538,10.000000,1.408915,0.280483,10.000000,10.000000,1.400469,0.240275,0.176518,-1.368365,209.743899,-105.001441,-31.039533,178.895914,107.554369,-6.869709,784.735173,-95.001441,-29.630618,179.176397,,,,,,
IMG_1862.jpg,107.554375,-6.869717,786.523419,10.000000,2.062720,-0.697078,10.000000,10.000000,2.078908,-0.700449,0.786550,-1.792364,208.141166,-104.784475,-22.031810,178.486857,107.554369,-6.869710,784.731055,-94.784475,-19.969090,177.789779,,,,,,
IMG_1863.jpg,107.554375,-6.869725,784.079679,10.000000,1.328864,-0.781432,10.000000,10.000000,1.332852,-0.784849,0.835120,0.680501,209.919152,-101.662670,-42.640491,178.640813,107.554368,-6.869717,784.760180,-91.662670,-41.311627,177.859381,,,,,,
IMG_1864.jpg,107.554367,-6.869714,784.990672,10.000000,0.572095,0.471434,10.000000,10.000000,0.536250,0.431234,-0.105516,-0.300777,205.219639,-97.662379,-25.137196,178.732430,107.554371,-6.869715,784.689895,-87.662379,-24.565101,179.203864,,,,,,
IMG_1865.jpg,107.554322,-6.869753,784.210321,10.000000,2.515181,2.444927,10.000000,10.000000,2.533314,2.465536,-0.152392,0.561774,208.291132,-97.508598,-53.350975,176.156018,107.554344,-6.869754,784.772095,-87.508598,-50.835794,178.600945,,,,,,
IMG_1866.jpg,107.554344,-6.869744,783.822707,10.000000,1.545713,0.151716,10.000000,10.000000,1.591242,0.196917,-1.401064,0.728214,195.740094,-85.631161,-43.529267,-170.548209,107.554346,-6.869757,784.550921,-75.631161,-41.983554,-170.396493,,,,,,
IMG_1867.jpg,107.554344,-6.869750,783.537846,10.000000,1.296228,0.120801,10.000000,10.000000,1.299280,0.165995,-0.705195,1.078552,209.693668,-97.072919,-46.411198,179.984120,107.554346,-6.869756,784.616398,-87.072919,-45.114970,-179.895079,,,,,,
IMG_1868.jpg,107.554344,-6.869756,783.122720,10.000000,1.583759,0.159606,10.000000,10.000000,1.592895,0.204809,0.161849,1.571360,209.207030,-93.679226,-57.158800,-178.114164,107.554346,-6.869755,784.694080,-83.679226,-55.575041,-177.954558,,,,,,
IMG_1869.jpg,107.554336,-6.869756,783.189651,10.000000,1.787411,1.041063,10.000000,10.000000,1.792777,1.049413,0.057235,1.452413,199.698874,-85.512325,-47.856276,-174.003044,107.554345,-6.869755,784.642064,-75.512325,-46.068865,-172.961981,,,,,,
IMG_1870.jpg,107.554336,-6.869753,782.982001,10.000000,1.918843,1.056855,10.000000,10.000000,1.918188,1.065211,-0.326086,1.561550,177.057107,-65.847233,-42.113935,-158.870316,107.554346,-6.869756,784.543551,-55.847233,-40.195092,-157.813461,,,,,,
IMG_1871.jpg,107.554336,-6.869753,783.153718,10.000000,1.700988,1.077165,10.000000,10.000000,1.700879,1.085532,-0.298322,1.274996,166.709201,-56.702678,-43.250842,-150.685530,107.554346,-6.869756,784.428713,-46.702678,-41.549854,-149.608365,,,,,,
IMG_1872.jpg,107.554336,-6.869750,783.187101,10.000000,1.737837,1.103112,10.000000,10.000000,1.741918,1.111488,-0.536849,1.229092,154.394566,-46.017989,-50.808541,-138.342035,107.554346,-6.869755,784.416193,-36.017989,-49.070704,-137.238923,,,,,,
IMG_1873.jpg,107.554336,-6.869747,782.874907,10.000000,2.116806,1.053099,10.000000,10.000000,2.129394,1.061462,-0.871638,1.627226,174.694492,-65.811735,-55.259017,-152.096753,107.554346,-6.869755,784.502132,-55.811735,-53.142211,-151.043654,,,,,,
IMG_1874.jpg,107.554358,-6.869719,784.011684,10.000000,1.492711,1.292352,10.000000,10.000000,1.537959,1.325801,-0.564860,0.537125,200.250548,-87.491806,-41.727667,-175.226333,107.554370,-6.869724,784.548809,-77.491806,-40.234956,-173.933981,,,,,,
IMG_1875.jpg,107.554358,-6.869719,784.011684,10.000000,1.502612,1.296246,10.000000,10.000000,1.548865,1.329696,-0.605511,0.514050,191.611902,-80.555524,-38.970697,-169.432032,107.554370,-6.869724,784.525734,-70.555524,-37.468085,-168.135786,,,,,,
IMG_1876.jpg,107.554367,-6.869722,784.300481,10.000000,0.562412,0.452980,10.000000,10.000000,0.542550,0.412751,-0.313606,0.160150,192.220716,-84.320388,-32.737033,-169.608852,107.554371,-6.869725,784.460631,-74.320388,-32.174621,-169.155872,,,,,,
IMG_1882.jpg,107.554597,-6.869889,782.739544,10.000000,3.526247,-3.159097,10.000000,10.000000,3.510140,-3.135224,1.502559,0.483498,123.851295,100.829479,69.375181,-18.964278,107.554569,-6.869875,783.223041,110.829479,72.901428,-22.123375,,,,,,
IMG_1883.jpg,107.554597,-6.869892,782.799240,10.000000,3.993611,-3.645970,10.000000,10.000000,3.986762,-3.622174,1.622508,0.376290,127.441450,103.664339,70.430858,-23.119735,107.554564,-6.869877,783.175529,113.664339,74.424469,-26.765705,,,,,,
IMG_1884.jpg,107.554589,-6.869897,782.725705,10.000000,3.791763,-3.232640,10.000000,10.000000,3.790407,-3.245770,1.924409,0.358910,124.209478,101.366571,68.991583,-19.823572,107.554560,-6.869880,783.084614,111.366571,72.783346,-23.056212,,,,,,
IMG_1885.jpg,107.554589,-6.869894,782.607532,10.000000,3.935800,-3.533936,10.000000,10.000000,3.927034,-3.547107,1.624831,0.446711,152.106877,125.467834,74.529697,-42.891128,107.554557,-6.869879,783.054242,135.467834,78.465497,-46.425064,,,,,,
IMG_1887.jpg,107.554542,-6.869869,782.527748,10.000000,1.591388,-0.657640,10.000000,10.000000,1.651606,-0.695714,-1.486924,0.181224,122.413586,102.213092,65.027700,-17.577489,107.554536,-6.869882,782.708972,112.213092,66.619088,-18.235129,,,,,,
IMG_1888.jpg,107.554528,-6.869878,782.550325,10.000000,0.967504,-0.276749,10.000000,10.000000,0.952169,-0.302725,-0.892704,0.134398,114.247492,97.164216,58.162041,-15.125526,107.554525,-6.869886,782.684723,107.164216,59.129545,-15.402275,,,,,,
IMG_1889.jpg,107.554528,-6.869881,782.337700,10.000000,1.298111,-0.777493,10.000000,10.000000,1.277111,-0.803554,-0.944553,0.305178,121.097448,100.267919,65.093872,-19.331951,107.554521,-6.869890,782.642878,110.267919,66.391983,-20.109444,,,,,,
IMG_1890.jpg,107.554519,-6.869933,781.119495,10.000000,1.901280,-0.193485,10.000000,10.000000,1.908460,-0.146122,-0.612073,1.801731,106.914349,98.957317,38.649083,-12.015651,107.554518,-6.869939,782.921226,108.957317,40.550363,-12.209136,,,,,,
IMG_1891.jpg,107.554519,-6.869933,781.407059,10.000000,1.651698,-0.163158,10.000000,10.000000,1.660787,-0.115793,-0.607679,1.541276,109.122245,102.035867,36.249590,-13.502353,107.554518,-6.869938,782.948335,112.035867,37.901288,-13.665511,,,,,,
IMG_1892.jpg,107.554511,-6.869936,782.400334,10.000000,0.954404,0.726347,10.000000,10.000000,0.966444,0.736860,-0.315946,0.539656,110.837497,100.286540,43.933594,-17.245284,107.554518,-6.869939,782.939990,110.286540,44.887998,-16.518937,,,,,,
IMG_1893.jpg,107.554511,-6.869933,782.688966,10.000000,1.076324,0.962755,10.000000,10.000000,1.100292,0.973310,-0.442006,0.260654,103.906465,97.316789,35.089512,-9.732535,107.554520,-6.869937,782.949620,107.316789,36.165836,-8.769780,,,,,,
IMG_1894.jpg,107.554511,-6.869933,782.688966,10.000000,1.180116,1.075253,10.000000,10.000000,1.202817,1.085824,-0.435630,0.279250,104.573980,97.483359,34.618458,-15.306025,107.554521,-6.869937,782.968216,107.483359,35.798574,-14.230772,,,,,,
IMG_1895.jpg,107.554506,-6.869931,783.471213,10.000000,1.906834,1.739657,10.000000,10.000000,1.845529,1.688829,-0.556149,-0.494503,93.481189,87.341379,32.035876,-9.160722,107.554521,-6.869936,782.976710,97.341379,33.942710,-7.421065,,,,,,
IMG_1896.jpg,107.554511,-6.869942,783.387298,10.000000,1.336167,1.130062,10.000000,10.000000,1.361470,1.140643,0.628271,-0.397255,93.402790,87.343392,32.183528,-7.709310,107.554521,-6.869936,782.990043,97.343392,33.519695,-6.579248,,,,,,
IMG_1897.jpg,107.554528,-6.869944,782.703148,10.000000,0.446349,0.355953,10.000000,10.000000,0.407117,0.329823,0.128978,0.200813,102.611525,91.266087,45.871822,-9.767411,107.554531,-6.869943,782.903961,101.266087,46.318171,-9.411458,,,,,,
IMG_1898.jpg,107.554528,-6.869931,783.261040,10.000000,1.703932,-0.099449,10.000000,10.000000,1.659147,-0.125654,-1.603937,-0.405421,98.541350,86.321529,47.227660,-5.342238,107.554527,-6.869946,782.855618,96.321529,48.931592,-5.441687,,,,,,
IMG_1899.jpg,107.554528,-6.869936,783.497736,10.000000,1.456293,-0.501070,10.000000,10.000000,1.476623,-0.527340,-1.214180,-0.654289,103.250266,90.154882,49.930148,-6.300393,107.554523,-6.869947,782.843447,100.154882,51.386441,-6.801463,,,,,,
IMG_1900.jpg,107.554519,-6.869942,783.963362,10.000000,1.412507,0.151332,10.000000,10.000000,1.398265,0.198708,-0.784819,-1.140053,98.799709,88.400478,43.776695,-5.508074,107.554521,-6.869949,782.823309,98.400478,45.189202,-5.356742,,,,,,
IMG_1901.jpg,107.554519,-6.869950,783.635954,10.000000,0.843979,-0.202382,10.000000,10.000000,0.834426,-0.155065,-0.085390,-0.815432,96.640118,87.103583,41.642367,-4.265141,107.554518,-6.869951,782.820522,97.103583,42.486346,-4.467523,,,,,,
IMG_1902.jpg,107.554511,-6.869947,783.132628,10.000000,0.825216,0.476790,10.000000,10.000000,0.849910,0.487217,-0.617529,-0.321905,98.444354,89.216688,40.907703,-7.631064,107.554515,-6.869953,782.810723,99.216688,41.732919,-7.154274,,,,,,
IMG_1903.jpg,107.554519,-6.869953,783.196450,10.000000,0.855425,-0.704089,10.000000,10.000000,0.809775,-0.656863,-0.246705,-0.404232,94.849594,86.572656,38.233473,-6.310491,107.554513,-6.869955,782.792218,96.572656,39.088898,-7.014580,,,,,,
IMG_1904.jpg,107.554519,-6.869953,783.123781,10.000000,1.043730,-0.900708,10.000000,10.000000,0.994087,-0.853516,-0.387007,-0.331579,96.613536,88.560584,38.018258,-6.768330,107.554511,-6.869956,782.792202,98.560584,39.061988,-7.669038,,,,,,
